adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks
0000950170-24-080431,1785056,"INTERACTIVE STRENGTH, INC.",3600,US,TX,AUSTIN,78701,1005 CONGRESS AVENUE,SUITE 925,3106978655,US,TX,AUSTIN,78701,1005 CONGRESS AVENUE,SUITE 925,US,DE,821432916,,,4-NON,0,1231,8-K,20240630,,,20240702,2024-07-02 16:03:00,0,0,trnr-20240701_htm.xml,1,
0000950170-24-080400,1785056,"INTERACTIVE STRENGTH, INC.",3600,US,TX,AUSTIN,78701,1005 CONGRESS AVENUE,SUITE 925,3106978655,US,TX,AUSTIN,78701,1005 CONGRESS AVENUE,SUITE 925,US,DE,821432916,,,4-NON,0,1231,8-K,20240630,,,20240702,2024-07-02 16:00:00,0,0,trnr-20240628_htm.xml,1,
0000950170-24-080040,926617,ASPIRA WOMEN'S HEALTH INC.,2835,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,512-519-0400,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,US,DE,330595156,"VERMILLION, INC.",20070824,4-NON,0,1231,8-K,20240630,,,20240702,2024-07-02 9:16:00,0,0,awh-20240630_htm.xml,1,
0001493152-24-025806,1836100,GOAL ACQUISITIONS CORP.,6770,US,TX,AUSTIN,78738,13001 W. HWY 71,SUITE 201,512-287-1871,US,TX,AUSTIN,78738,13001 W. HWY 71,SUITE 201,US,DE,853660880,,,4-NON,0,1231,8-K,20240630,,,20240701,2024-07-01 16:31:00,0,0,form8-k_htm.xml,1,
0001493152-24-025725,1069530,CASSAVA SCIENCES INC,2834,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,512-501-2444,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,US,DE,911911336,PAIN THERAPEUTICS INC,20000309,1-LAF,0,1231,8-K,20240630,,,20240701,2024-07-01 8:01:00,1,0,form8-k_htm.xml,1,
0001213900-24-057380,1733413,"TFF PHARMACEUTICALS, INC.",2834,US,TX,AUSTIN,78746,"2600 VIA FORTUNA, SUITE 360",,737-802-1973,US,TX,AUSTIN,78746,"2600 VIA FORTUNA, SUITE 360",,US,DE,824344737,,,4-NON,0,1231,8-K,20240630,,,20240701,2024-06-28 20:32:00,0,0,ea0208732-8k_tffpharma_htm.xml,1,
0001079973-24-000998,700764,"VICTORY CLEAN ENERGY, INC.",1311,US,TX,AUSTIN,78738,"14425 FALCON HEAD BLVD., BLDG E",SUITE 100,512-607-5558,US,TX,AUSTIN,78738,"14425 FALCON HEAD BLVD., BLDG E",SUITE 100,US,NV,870564472,"VICTORY OILFIELD TECH, INC.",20180606,4-NON,0,1231,8-K,20240630,,,20240701,2024-07-01 17:15:00,0,0,vyey_8k_htm.xml,1,
0000950170-24-079726,1830043,BUMBLE INC.,7370,US,TX,AUSTIN,78756,1105 WEST 41ST STREET,,512-696-1409,US,TX,AUSTIN,78756,1105 WEST 41ST STREET,,,,853604367,,,1-LAF,0,1231,8-K,20240630,,,20240701,2024-07-01 17:00:00,0,0,bmbl-20240701_htm.xml,1,
0000950170-24-079657,1800347,"E2OPEN PARENT HOLDINGS, INC.",7374,US,TX,AUSTIN,78759,"9600 GREAT HILLS TRAIL, SUITE 300E",,8664326736,US,TX,AUSTIN,78759,"9600 GREAT HILLS TRAIL, SUITE 300E",,US,DE,0,CC NEUBERGER PRINCIPAL HOLDINGS I,20200116,1-LAF,0,229,8-K,20240630,,,20240701,2024-07-01 16:30:00,0,0,etwo-20240628_htm.xml,1,
0001377789-24-000028,1377789,"AVIAT NETWORKS, INC.",3663,US,TX,AUSTIN,78728,200 PARKER DRIVE,SUITE C100A,4089417100,US,TX,AUSTIN,78728,200 PARKER DRIVE,SUITE C100A,US,DE,205961564,AVIAT NETWORKS INC,20161109,2-ACC,0,630,8-K,20240630,,,20240703,2024-07-03 6:06:00,0,0,avnw-20240702_htm.xml,1,
0001635984-24-000017,1635984,"NATIONAL WESTERN LIFE GROUP, INC.",6311,US,TX,AUSTIN,78720-9080,C/O NATIONAL WESTERN LIFE INSURANCE CO.,PO BOX 209080,(512) 719-0143,US,TX,AUSTIN,78720-9080,C/O NATIONAL WESTERN LIFE INSURANCE CO.,PO BOX 209080,US,DE,0,,,1-LAF,0,1231,8-K,20240630,,,20240703,2024-07-03 12:04:00,0,0,nwli-20240703_htm.xml,1,
0000772406-24-000047,772406,"CIRRUS LOGIC, INC.",3674,US,TX,AUSTIN,78701,800 WEST 6TH STREET,,512-851-4000,US,TX,AUSTIN,78701,800 WEST 6TH STREET,,US,DE,770024818,CIRRUS LOGIC INC,19920703,1-LAF,0,331,8-K/A,20240430,,,20240705,2024-07-05 16:03:00,0,0,crus-20240511_htm.xml,1,
